sample	unit	platform	fq1	fq2
4x0430	lane1	ILLUMINA	/project/gilad/bjf79/YG1-24_WGS_fastq/YG-LB-PanTro-YG10_S10_R1_001.fastq.gz	/project/gilad/bjf79/YG1-24_WGS_fastq/YG-LB-PanTro-YG10_S10_R2_001.fastq.gz
623	lane1	ILLUMINA	/project/gilad/bjf79/YG1-24_WGS_fastq/YG-LB-PanTro-YG11_S11_R1_001.fastq.gz	/project/gilad/bjf79/YG1-24_WGS_fastq/YG-LB-PanTro-YG11_S11_R2_001.fastq.gz
476	lane1	ILLUMINA	/project/gilad/bjf79/YG1-24_WGS_fastq/YG-LB-PanTro-YG12_S12_R1_001.fastq.gz	/project/gilad/bjf79/YG1-24_WGS_fastq/YG-LB-PanTro-YG12_S12_R2_001.fastq.gz
537	lane1	ILLUMINA	/project/gilad/bjf79/YG1-24_WGS_fastq/YG-LB-PanTro-YG13_S13_R1_001.fastq.gz	/project/gilad/bjf79/YG1-24_WGS_fastq/YG-LB-PanTro-YG13_S13_R2_001.fastq.gz
MD_And	lane1	ILLUMINA	/project/gilad/bjf79/YG1-24_WGS_fastq/YG-LB-PanTro-YG14_S14_R1_001.fastq.gz	/project/gilad/bjf79/YG1-24_WGS_fastq/YG-LB-PanTro-YG14_S14_R2_001.fastq.gz
Little_R	lane1	ILLUMINA	/project/gilad/bjf79/YG1-24_WGS_fastq/YG-LB-PanTro-YG15_S15_R1_001.fastq.gz	/project/gilad/bjf79/YG1-24_WGS_fastq/YG-LB-PanTro-YG15_S15_R2_001.fastq.gz
88A020	lane1	ILLUMINA	/project/gilad/bjf79/YG1-24_WGS_fastq/YG-LB-PanTro-YG16_S16_R1_001.fastq.gz	/project/gilad/bjf79/YG1-24_WGS_fastq/YG-LB-PanTro-YG16_S16_R2_001.fastq.gz
549	lane1	ILLUMINA	/project/gilad/bjf79/YG1-24_WGS_fastq/YG-LB-PanTro-YG17_S17_R1_001.fastq.gz	/project/gilad/bjf79/YG1-24_WGS_fastq/YG-LB-PanTro-YG17_S17_R2_001.fastq.gz
4x523	lane1	ILLUMINA	/project/gilad/bjf79/YG1-24_WGS_fastq/YG-LB-PanTro-YG18_S18_R1_001.fastq.gz	/project/gilad/bjf79/YG1-24_WGS_fastq/YG-LB-PanTro-YG18_S18_R2_001.fastq.gz
4x373	lane1	ILLUMINA	/project/gilad/bjf79/YG1-24_WGS_fastq/YG-LB-PanTro-YG19_S19_R1_001.fastq.gz	/project/gilad/bjf79/YG1-24_WGS_fastq/YG-LB-PanTro-YG19_S19_R2_001.fastq.gz
338	lane1	ILLUMINA	/project/gilad/bjf79/YG1-24_WGS_fastq/YG-LB-PanTro-YG1_S1_R1_001.fastq.gz	/project/gilad/bjf79/YG1-24_WGS_fastq/YG-LB-PanTro-YG1_S1_R2_001.fastq.gz
4x0025	lane1	ILLUMINA	/project/gilad/bjf79/YG1-24_WGS_fastq/YG-LB-PanTro-YG20_S20_R1_001.fastq.gz	/project/gilad/bjf79/YG1-24_WGS_fastq/YG-LB-PanTro-YG20_S20_R2_001.fastq.gz
4x0043	lane1	ILLUMINA	/project/gilad/bjf79/YG1-24_WGS_fastq/YG-LB-PanTro-YG21_S21_R1_001.fastq.gz	/project/gilad/bjf79/YG1-24_WGS_fastq/YG-LB-PanTro-YG21_S21_R2_001.fastq.gz
438	lane1	ILLUMINA	/project/gilad/bjf79/YG1-24_WGS_fastq/YG-LB-PanTro-YG22_S22_R1_001.fastq.gz	/project/gilad/bjf79/YG1-24_WGS_fastq/YG-LB-PanTro-YG22_S22_R2_001.fastq.gz
456	lane1	ILLUMINA	/project/gilad/bjf79/YG1-24_WGS_fastq/YG-LB-PanTro-YG23_S23_R1_001.fastq.gz	/project/gilad/bjf79/YG1-24_WGS_fastq/YG-LB-PanTro-YG23_S23_R2_001.fastq.gz
462	lane1	ILLUMINA	/project/gilad/bjf79/YG1-24_WGS_fastq/YG-LB-PanTro-YG24_S24_R1_001.fastq.gz	/project/gilad/bjf79/YG1-24_WGS_fastq/YG-LB-PanTro-YG24_S24_R2_001.fastq.gz
317	lane1	ILLUMINA	/project/gilad/bjf79/YG1-24_WGS_fastq/YG-LB-PanTro-YG2_S2_R1_001.fastq.gz	/project/gilad/bjf79/YG1-24_WGS_fastq/YG-LB-PanTro-YG2_S2_R2_001.fastq.gz
295	lane1	ILLUMINA	/project/gilad/bjf79/YG1-24_WGS_fastq/YG-LB-PanTro-YG3_S3_R1_001.fastq.gz	/project/gilad/bjf79/YG1-24_WGS_fastq/YG-LB-PanTro-YG3_S3_R2_001.fastq.gz
522	lane1	ILLUMINA	/project/gilad/bjf79/YG1-24_WGS_fastq/YG-LB-PanTro-YG4_S4_R1_001.fastq.gz	/project/gilad/bjf79/YG1-24_WGS_fastq/YG-LB-PanTro-YG4_S4_R2_001.fastq.gz
4x0519	lane1	ILLUMINA	/project/gilad/bjf79/YG1-24_WGS_fastq/YG-LB-PanTro-YG5_S5_R1_001.fastq.gz	/project/gilad/bjf79/YG1-24_WGS_fastq/YG-LB-PanTro-YG5_S5_R2_001.fastq.gz
570	lane1	ILLUMINA	/project/gilad/bjf79/YG1-24_WGS_fastq/YG-LB-PanTro-YG6_S6_R1_001.fastq.gz	/project/gilad/bjf79/YG1-24_WGS_fastq/YG-LB-PanTro-YG6_S6_R2_001.fastq.gz
558	lane1	ILLUMINA	/project/gilad/bjf79/YG1-24_WGS_fastq/YG-LB-PanTro-YG7_S7_R1_001.fastq.gz	/project/gilad/bjf79/YG1-24_WGS_fastq/YG-LB-PanTro-YG7_S7_R2_001.fastq.gz
495	lane1	ILLUMINA	/project/gilad/bjf79/YG1-24_WGS_fastq/YG-LB-PanTro-YG8_S8_R1_001.fastq.gz	/project/gilad/bjf79/YG1-24_WGS_fastq/YG-LB-PanTro-YG8_S8_R2_001.fastq.gz
95A014	lane1	ILLUMINA	/project/gilad/bjf79/YG1-24_WGS_fastq/YG-LB-PanTro-YG9_S9_R1_001.fastq.gz	/project/gilad/bjf79/YG1-24_WGS_fastq/YG-LB-PanTro-YG9_S9_R2_001.fastq.gz
4X0095	lane1	ILLUMINA	/project/gilad/bjf79/YG25-39_WGS_fastq/YG-LB-SB-PanTro-YG25_S1_R1_001.fastq.gz	/project/gilad/bjf79/YG25-39_WGS_fastq/YG-LB-SB-PanTro-YG25_S1_R2_001.fastq.gz
4X0212	lane1	ILLUMINA	/project/gilad/bjf79/YG25-39_WGS_fastq/YG-LB-SB-PanTro-YG26_S2_R1_001.fastq.gz	/project/gilad/bjf79/YG25-39_WGS_fastq/YG-LB-SB-PanTro-YG26_S2_R2_001.fastq.gz
4X0267	lane1	ILLUMINA	/project/gilad/bjf79/YG25-39_WGS_fastq/YG-LB-SB-PanTro-YG27_S3_R1_001.fastq.gz	/project/gilad/bjf79/YG25-39_WGS_fastq/YG-LB-SB-PanTro-YG27_S3_R2_001.fastq.gz
4X0333	lane1	ILLUMINA	/project/gilad/bjf79/YG25-39_WGS_fastq/YG-LB-SB-PanTro-YG28_S4_R1_001.fastq.gz	/project/gilad/bjf79/YG25-39_WGS_fastq/YG-LB-SB-PanTro-YG28_S4_R2_001.fastq.gz
4X0339	lane1	ILLUMINA	/project/gilad/bjf79/YG25-39_WGS_fastq/YG-LB-SB-PanTro-YG29_S5_R1_001.fastq.gz	/project/gilad/bjf79/YG25-39_WGS_fastq/YG-LB-SB-PanTro-YG29_S5_R2_001.fastq.gz
4X0354	lane1	ILLUMINA	/project/gilad/bjf79/YG25-39_WGS_fastq/YG-LB-SB-PanTro-YG30_S6_R1_001.fastq.gz	/project/gilad/bjf79/YG25-39_WGS_fastq/YG-LB-SB-PanTro-YG30_S6_R2_001.fastq.gz
4X0357	lane1	ILLUMINA	/project/gilad/bjf79/YG25-39_WGS_fastq/YG-LB-SB-PanTro-YG31_S7_R1_001.fastq.gz	/project/gilad/bjf79/YG25-39_WGS_fastq/YG-LB-SB-PanTro-YG31_S7_R2_001.fastq.gz
4X0550	lane1	ILLUMINA	/project/gilad/bjf79/YG25-39_WGS_fastq/YG-LB-SB-PanTro-YG32_S8_R1_001.fastq.gz	/project/gilad/bjf79/YG25-39_WGS_fastq/YG-LB-SB-PanTro-YG32_S8_R2_001.fastq.gz
554	lane1	ILLUMINA	/project/gilad/bjf79/YG25-39_WGS_fastq/YG-LB-SB-PanTro-YG33_S9_R1_001.fastq.gz	/project/gilad/bjf79/YG25-39_WGS_fastq/YG-LB-SB-PanTro-YG33_S9_R2_001.fastq.gz
554_2	lane1	ILLUMINA	/project/gilad/bjf79/YG25-39_WGS_fastq/YG-LB-SB-PanTro-YG34_S10_R1_001.fastq.gz	/project/gilad/bjf79/YG25-39_WGS_fastq/YG-LB-SB-PanTro-YG34_S10_R2_001.fastq.gz
676	lane1	ILLUMINA	/project/gilad/bjf79/YG25-39_WGS_fastq/YG-LB-SB-PanTro-YG35_S11_R1_001.fastq.gz	/project/gilad/bjf79/YG25-39_WGS_fastq/YG-LB-SB-PanTro-YG35_S11_R2_001.fastq.gz
503	lane1	ILLUMINA	/project/gilad/bjf79/YG25-39_WGS_fastq/YG-LB-SB-PanTro-YG36_S12_R1_001.fastq.gz	/project/gilad/bjf79/YG25-39_WGS_fastq/YG-LB-SB-PanTro-YG36_S12_R2_001.fastq.gz
529	lane1	ILLUMINA	/project/gilad/bjf79/YG25-39_WGS_fastq/YG-LB-SB-PanTro-YG37_S13_R1_001.fastq.gz	/project/gilad/bjf79/YG25-39_WGS_fastq/YG-LB-SB-PanTro-YG37_S13_R2_001.fastq.gz
724	lane1	ILLUMINA	/project/gilad/bjf79/YG25-39_WGS_fastq/YG-LB-SB-PanTro-YG38_S14_R1_001.fastq.gz	/project/gilad/bjf79/YG25-39_WGS_fastq/YG-LB-SB-PanTro-YG38_S14_R2_001.fastq.gz
389	lane1	ILLUMINA	/project/gilad/bjf79/YG25-39_WGS_fastq/YG-LB-SB-PanTro-YG39_S15_R1_001.fastq.gz	/project/gilad/bjf79/YG25-39_WGS_fastq/YG-LB-SB-PanTro-YG39_S15_R2_001.fastq.gz
